ranking,popularity,num_scoring_users,rank,num_episodes,rating,title,average_episode_duration,source,media_type,id,status,num_list_users,mean,nsfw,start_year
{'rank': 6042},9593,1415,6042,1,original,Sengoku Majin Goushougun: Toki no Etranger,5337,original,movie,2511,finished_airing,3899,6.66,white,1985.0
{'rank': 6043},16709,122,6043,20,novel,Shenyi Jiu Xiaojie 2nd Season,650,novel,ona,58055,finished_airing,507,6.66,white,2024.0
{'rank': 6044},2600,37496,6044,25,manga,Shugo Chara! Party!,1260,manga,tv,7082,finished_airing,75639,6.66,white,2009.0
{'rank': 6045},12559,448,6045,1,manga,Slam Dunk: Ketsui no Shouhoku Basket-bu,2871,manga,special,52159,finished_airing,1540,6.66,white,1994.0
{'rank': 6046},8006,3274,6046,1,book,Starship Troopers: Invasion,5340,book,movie,14629,finished_airing,6390,6.66,white,2012.0
{'rank': 6047},14516,240,6047,20,source_inconnue,Tai Yi Jian Xian Chuan,1080,source_inconnue,ona,56958,finished_airing,888,6.66,white,2023.0
{'rank': 6048},14728,272,6048,2,manga,Takahashi Rumiko Gekijou Ningyo no Mori Specials,1460,manga,special,57239,finished_airing,834,6.66,white,2004.0
{'rank': 6049},5018,11460,6049,12,manga,Teekyuu 5,120,manga,tv,30567,finished_airing,20542,6.66,white,2015.0
{'rank': 6050},9835,355,6050,4,manga,Tennis no Oujisama: Best Games!!,2040,manga,ova,36952,finished_airing,3604,6.66,white,2018.0
{'rank': 6052},9632,1594,6052,43,other,Transformers: Choujin Master Force,1440,other,tv,924,finished_airing,3852,6.66,white,1988.0
{'rank': 6053},9082,1770,6053,1,original,Uchuu Senkan Yamato: Aratanaru Tabidachi,5700,original,special,3071,finished_airing,4621,6.66,white,1979.0
{'rank': 6054},4492,9937,6054,12,original,Uta∽Kata,1420,original,tv,688,finished_airing,26666,6.66,white,2004.0
{'rank': 6055},6551,3583,6055,3,original,ViVid Strike! Specials,1081,original,special,34812,finished_airing,10438,6.66,white,2017.0
{'rank': 6056},5964,6080,6056,1,original,WXIII Kidou Keisatsu Patlabor,6030,original,movie,1290,finished_airing,13143,6.66,white,2002.0
{'rank': 6057},3441,18658,6057,13,original,Juubee Ninpuuchou: Ryuuhougyoku-hen,1440,original,tv,618,finished_airing,45668,6.66,white,2003.0
{'rank': 6058},5045,8268,6058,13,original,Juubee-chan: Lovely Gantai no Himitsu,1457,original,tv,635,finished_airing,20215,6.66,white,1999.0
{'rank': 6059},9543,1261,6059,4,manga,Kasei Yakyoku,1680,manga,ova,4485,finished_airing,3953,6.66,white,1989.0
{'rank': 6060},3421,23095,6060,47,original,Kidou Senshi Gundam ZZ,1460,original,tv,86,finished_airing,46106,6.66,white,1986.0
{'rank': 6061},13053,398,6061,55,original,Kirakira Happy★Hirake! Cocotama,1475,original,tv,37968,finished_airing,1323,6.66,white,2018.0
{'rank': 6062},11137,865,6062,1,visual_novel,Koisuru Tenshi Angelique: Kagayaki no Ashita Special,1590,visual_novel,special,7333,finished_airing,2412,6.66,white,2007.0
{'rank': 6063},7454,3600,6063,4,original,Koutetsu Tenshi Kurumi Encore,900,original,ova,557,finished_airing,7612,6.66,white,2000.0
{'rank': 6064},10772,1075,6064,10,novel,Ling Yu 2nd Season,860,novel,ona,36790,finished_airing,2699,6.66,white,2016.0
{'rank': 6065},20073,123,6065,1,original,Milky☆Highway,220,original,ona,57925,finished_airing,263,6.66,white,2022.0
{'rank': 6066},2564,33675,6066,12,manga,Nana Maru San Batsu,1380,manga,tv,34580,finished_airing,77399,6.66,white,2017.0
{'rank': 6067},3605,12230,6067,12,visual_novel,Nil Admirari no Tenbin,1420,visual_novel,tv,33850,finished_airing,42143,6.66,white,2018.0
{'rank': 6068},2810,31213,6068,13,manga,Nobunagun,1440,manga,tv,19855,finished_airing,66551,6.66,white,2014.0
